Rank,Title,Year,Rating,Genres
1,The Shawshank Redemption,1994,9.3,['Other']
2,The Godfather,1972,9.2,['Crime']
3,The Dark Knight,2008,9.1,['Other']
4,The Lord of the Rings: The Return of the King,2003,9.0,['Other']
5,Schindler's List,1993,9.0,['War']
6,12 Angry Men,1957,9.0,['Other']
7,The Godfather Part II,1974,9.0,"['Crime', 'Family']"
8,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,['Other']
9,Inception,2010,8.8,['Other']
10,Pulp Fiction,1994,8.8,['Other']
11,Fight Club,1999,8.8,['Other']
12,The Lord of the Rings: The Two Towers,2002,8.8,['Other']
13,Forrest Gump,1994,8.8,['Other']
14,"The Good, the Bad and the Ugly",1966,8.8,['Other']
15,Interstellar,2014,8.7,['Other']
16,The Matrix,1999,8.7,['Other']
17,Goodfellas,1990,8.7,['Other']
18,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,['War']
19,12th Fail,2023,8.7,['Other']
20,The Green Mile,1999,8.6,['Other']
21,Se7en,1995,8.6,['Other']
22,The Silence of the Lambs,1991,8.6,['Other']
23,Saving Private Ryan,1998,8.6,['Action']
24,City of God,2002,8.6,['Other']
25,One Flew Over the Cuckoo's Nest,1975,8.6,['Other']
26,Star Wars: Episode IV - A New Hope,1977,8.6,['War']
27,Terminator 2: Judgment Day,1991,8.6,['Other']
28,Spirited Away,2001,8.6,['Family']
29,Life Is Beautiful,1997,8.6,['Other']
30,It's a Wonderful Life,1946,8.6,['Other']
31,Seven Samurai,1954,8.6,['Other']
32,Harakiri,1962,8.6,['Other']
33,Jai Bhim,2021,8.6,['Other']
34,Parasite,2019,8.5,['Family']
35,The Prestige,2006,8.5,['Other']
36,The Departed,2006,8.5,['Other']
37,Whiplash,2014,8.5,['Other']
38,The Usual Suspects,1995,8.5,['Other']
39,Django Unchained,2012,8.5,['Other']
40,Gladiator,2000,8.5,['Family']
41,Back to the Future,1985,8.5,['Other']
42,Spider-Man: Across the Spider-Verse,2023,8.5,['Other']
43,Léon: The Professional,1994,8.5,['Family']
44,Alien,1979,8.5,['Other']
45,The Intouchables,2011,8.5,['Other']
46,The Pianist,2002,8.5,"['War', 'Family']"
47,American History X,1998,8.5,['Other']
48,Grave of the Fireflies,1988,8.5,['War']
49,The Lion King,1994,8.5,['Other']
50,Once Upon a Time in the West,1968,8.5,['Other']
51,Cinema Paradiso,1988,8.5,['Other']
52,Casablanca,1942,8.5,['Other']
53,Psycho,1960,8.5,['Other']
54,Rear Window,1954,8.5,['Other']
55,City Lights,1931,8.5,['Other']
56,Modern Times,1936,8.5,['Other']
57,The Chaos Class Failed the Class,1975,8.5,['Other']
58,Dune: Part Two,2024,8.4,"['War', 'Family']"
59,Inglourious Basterds,2009,8.4,['War']
60,Avengers: Endgame,2019,8.4,"['Action', 'War']"
61,Memento,2000,8.4,['Other']
62,Chainsaw Man - The Movie: Reze Arc,2025,8.4,['Other']
63,The Shining,1980,8.4,['Family']
64,The Dark Knight Rises,2012,8.4,['Other']
65,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,8.4,['Other']
66,Spider-Man: Into the Spider-Verse,2018,8.4,['Other']
67,Apocalypse Now,1979,8.4,['Other']
68,Avengers: Infinity War,2018,8.4,['War']
69,Your Name.,2016,8.4,['Other']
70,Raiders of the Lost Ark,1981,8.4,['Other']
71,Aliens,1986,8.4,['Other']
72,Amadeus,1984,8.4,['Other']
73,The Lives of Others,2006,8.4,['Other']
74,WALL·E,2008,8.4,['Other']
75,3 Idiots,2009,8.4,['Other']
76,Coco,2017,8.4,['Family']
77,Capernaum,2018,8.4,['Crime']
78,Sunset Boulevard,1950,8.4,['Other']
79,Das Boot,1981,8.4,['War']
80,Paths of Glory,1957,8.4,['Other']
81,Witness for the Prosecution,1957,8.4,['Other']
82,High and Low,1963,8.4,['Other']
83,The Great Dictator,1940,8.4,['Other']
84,The Best of Youth,2003,8.4,['Other']
85,Good Will Hunting,1997,8.3,['Other']
86,Heat,1995,8.3,['Other']
87,Oldboy,2003,8.3,['Other']
88,Eternal Sunshine of the Spotless Mind,2004,8.3,['Other']
89,Requiem for a Dream,2000,8.3,['Other']
90,Joker,2019,8.3,['Other']
91,The Hunt,2012,8.3,['Other']
92,Incendies,2010,8.3,['Family']
93,Scarface,1983,8.3,['Other']
94,Braveheart,1995,8.3,['War']
95,American Beauty,1999,8.3,['Other']
96,Come and See,1985,8.3,"['Horror', 'War']"
97,2001: A Space Odyssey,1968,8.3,['Other']
98,Reservoir Dogs,1992,8.3,['Other']
99,Once Upon a Time in America,1984,8.3,['Other']
100,Toy Story,1995,8.3,['Action']
101,Amélie,2001,8.3,['Other']
102,Princess Mononoke,1997,8.3,['War']
103,Star Wars: Episode VI - Return of the Jedi,1983,8.3,['War']
104,Up,2009,8.3,['Other']
105,Lawrence of Arabia,1962,8.3,['War']
106,Hamilton,2020,8.3,['Other']
107,Toy Story 3,2010,8.3,['Other']
108,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,['War']
109,The Apartment,1960,8.3,['Other']
110,Judgment at Nuremberg,1961,8.3,"['Action', 'War']"
111,Dangal,2016,8.3,['Other']
112,A Separation,2011,8.3,['Other']
